任务,里程碑,优先级,状态,责任人
"Page: school-cooperation","扩展","中","待办","FE Lead"
"Page: breath/mindfulness","扩展","低","待办","FE Lead"
"页面增强：今天资源推送区","扩展","低","待办","FE Lead"
"API: /api/resources","扩展","中","待办","BE Lead"
"API: 学校协同相关接口 ⚠️(风险 1.5 隐私合规)","扩展","高","待办","BE Lead"
"建议编排增强（suggestionOrchestrator）","扩展","中","待办","BE Lead"
"DB: resources 集合","扩展","中","待办","BE Lead"
"数据模型：评测/资源关联","扩展","中","待办","Data Lead"
"测试: 工具闭环","扩展","中","待办","QA Lead"
"测试: 协同链路 ⚠️(风险 1.5 隐私合规)","扩展","高","待办","QA Lead"
"测试: 推送与推荐","扩展","中","待办","QA Lead"
"上线: 数据看板拓展 ⚠️(风险 1.8 埋点缺失)","扩展","中","待办","Data Lead"
"生态合作与入驻流程","扩展","低","待办","Ops-Risk Lead"
